year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1976,ALABAMA,AL,"CARTER, JIMMY",659170,"FORD, GERALD",504070,19610,1182850,DEMOCRAT,9,0,9,3735.139
1976,ALASKA,AK,"CARTER, JIMMY",44058,"FORD, GERALD",71555,7961,123574,REPUBLICAN,0,3,3,400.969
1976,ARIZONA,AZ,"CARTER, JIMMY",295602,"FORD, GERALD",418642,28475,742719,REPUBLICAN,0,6,6,2346.157
1976,ARKANSAS,AR,"CARTER, JIMMY",498604,"FORD, GERALD",267903,1028,767535,DEMOCRAT,6,0,6,2170.161
1976,CALIFORNIA,CA,"CARTER, JIMMY",3742284,"FORD, GERALD",3882244,179242,7803770,REPUBLICAN,0,45,45,21935.909
1976,COLORADO,CO,"CARTER, JIMMY",460801,"FORD, GERALD",584278,36361,1081440,REPUBLICAN,0,7,7,2632.306
1976,CONNECTICUT,CT,"CARTER, JIMMY",647895,"FORD, GERALD",719261,19199,1386355,REPUBLICAN,0,8,8,3083.335
1976,DELAWARE,DE,"CARTER, JIMMY",122461,"FORD, GERALD",109780,3401,235642,DEMOCRAT,3,0,3,590.166
1976,DISTRICT OF COLUMBIA,DC,"CARTER, JIMMY",137818,"FORD, GERALD",27873,3139,168830,DEMOCRAT,3,0,3,692.295
1976,FLORIDA,FL,"CARTER, JIMMY",1636000,"FORD, GERALD",1469531,45100,3150631,DEMOCRAT,17,0,17,8667.379
1976,GEORGIA,GA,"CARTER, JIMMY",979409,"FORD, GERALD",483743,0,1463152,DEMOCRAT,12,0,12,5132.812
1976,HAWAII,HI,"CARTER, JIMMY",147375,"FORD, GERALD",140003,3923,291301,DEMOCRAT,4,0,4,904.191
1976,IDAHO,ID,"CARTER, JIMMY",126549,"FORD, GERALD",204151,10232,340932,REPUBLICAN,0,4,4,856.983
1976,ILLINOIS,IL,"CARTER, JIMMY",2271295,"FORD, GERALD",2364269,85718,4721282,REPUBLICAN,0,26,26,11342.853
1976,INDIANA,IN,"CARTER, JIMMY",1014714,"FORD, GERALD",1183958,21690,2220362,REPUBLICAN,0,13,13,5389.088
1976,IOWA,IA,"CARTER, JIMMY",619931,"FORD, GERALD",632864,26508,1279303,REPUBLICAN,0,8,8,2903.082
1976,KANSAS,KS,"CARTER, JIMMY",430421,"FORD, GERALD",502752,24672,957845,REPUBLICAN,0,7,7,2301.001
1976,KENTUCKY,KY,"CARTER, JIMMY",615717,"FORD, GERALD",531852,19573,1167142,DEMOCRAT,9,0,9,3529.257
1976,LOUISIANA,LA,"CARTER, JIMMY",661365,"FORD, GERALD",587446,28572,1277383,DEMOCRAT,10,0,10,3950.605
1976,MAINE,ME,"CARTER, JIMMY",232279,"FORD, GERALD",236320,14369,482968,REPUBLICAN,0,4,4,1088.412
1976,MARYLAND,MD,"CARTER, JIMMY",759612,"FORD, GERALD",672661,0,1432273,DEMOCRAT,10,0,10,4150.539
1976,MASSACHUSETTS,MA,"CARTER, JIMMY",1429475,"FORD, GERALD",1030276,87807,2547558,DEMOCRAT,14,0,14,5743.672
1976,MICHIGAN,MI,"CARTER, JIMMY",1696714,"FORD, GERALD",1893742,61134,3651590,REPUBLICAN,0,21,21,9129.205
1976,MINNESOTA,MN,"CARTER, JIMMY",1070440,"FORD, GERALD",819395,60096,1949931,DEMOCRAT,10,0,10,3964.68
1976,MISSISSIPPI,MS,"CARTER, JIMMY",381329,"FORD, GERALD",366846,20215,768390,DEMOCRAT,7,0,7,2429.756
