DATE,AKPOP,ALPOP,ARPOP,AZPOP,CAPOP,COPOP,CTPOP,DCPOP,DEPOP,FLPOP,GAPOP,HIPOP,IAPOP,IDPOP,ILPOP,INPOP,KSPOP,KYPOP,LAPOP,MAPOP,MDPOP,MEPOP,MIPOP,MNPOP,MOPOP,MSPOP,MTPOP,NCPOP,NDPOP,NEPOP,NHPOP,NJPOP,NMPOP,NVPOP,NYPOP,OHPOP,OKPOP,ORPOP,PAPOP,RIPOP,SCPOP,SDPOP,TNPOP,TXPOP,UTPOP,VAPOP,VTPOP,WAPOP,WIPOP,WVPOP,WYPOP
1976-01-01,400.969,3735.139,2170.161,2346.157,21935.909,2632.306,3083.335,692.295,590.166,8667.379,5132.812,904.191,2903.082,856.983,11342.853,5389.088,2301.001,3529.257,3950.605,5743.672,4150.539,1088.412,9129.205,3964.680,4839.029,2429.756,757.317,5607.964,645.797,1550.911,845.248,7339.745,1189.295,646.975,17940.541,10752.662,2826.815,2378.262,11897.378,946.089,2943.657,686.39,4346.928,12904.089,1274.928,5121.863,484.928,3693.61,4595.904,1879.503,396.952
1977-01-01,403.436,3780.403,2209.010,2425.197,22352.396,2696.140,3085.722,677.228,591.829,8856.183,5219.697,918.259,2913.573,883.469,11386.316,5425.638,2320.647,3573.693,4014.459,5738.199,4169.595,1103.578,9171.110,3989.364,4863.173,2459.201,769.953,5685.607,649.769,1556.842,869.763,7337.169,1215.720,678.333,17812.602,10771.394,2870.014,2446.673,11893.591,950.230,2991.681,688.48,4422.921,13193.05,1319.512,5193.112,491.931,3776.05,4626.514,1908.088,413.354
1978-01-01,404.766,3831.836,2243.127,2515.316,22835.958,2766.748,3091.627,665.052,594.776,9102.032,5295.751,931.584,2918.069,910.690,11412.561,5470.214,2335.657,3609.976,4068.579,5736.469,4183.603,1113.566,9217.761,4015.341,4889.399,2487.816,782.317,5759.492,651.301,1563.884,891.520,7350.804,1238.034,719.436,17680.589,10795.581,2917.336,2518.298,11879.396,951.816,3044.364,688.58,4486.314,13500.429,1367.51,5270.24,498.109,3889.073,4646.108,1923.395,432.88
1979-01-01,402.753,3866.248,2271.333,2635.571,23256.880,2849.234,3095.917,650.016,594.984,9426.159,5401.384,953.306,2915.739,932.627,11396.837,5501.174,2350.906,3641.804,4137.665,5738.404,4191.160,1122.563,9266.268,4050.316,4912.430,2507.069,787.305,5823.491,652.896,1567.344,909.074,7366.512,1284.722,765.367,17583.838,10798.298,2975.310,2588.012,11887.975,950.382,3090.267,688.335,4560.473,13888.371,1420.238,5307.945,505.372,4017.632,4682.811,1942.146,454.378
1980-01-01,405.315,3900.368,2288.738,2737.774,23800.800,2908.803,3113.174,638.284,594.919,9839.835,5486.174,967.710,2914.018,947.983,11434.702,5490.721,2369.039,3664.221,4223.101,5746.075,4227.643,1126.860,9255.553,4085.017,4921.966,2525.342,788.752,5898.980,654.380,1572.296,924.250,7376.330,1309.400,810.215,17566.754,10800.650,3040.758,2641.218,11868.305,948.773,3134.502,690.851,4600.252,14338.208,1472.595,5368.334,512.524,4154.678,4712.045,1951.349,474.185
1981-01-01,418.491,3918.531,2293.201,2810.107,24285.933,2977.898,3128.836,636.893,595.975,10192.774,5568.345,978.195,2907.983,962.204,11443.458,5480.435,2384.849,3670.394,4283.303,5768.685,4261.905,1133.033,9209.287,4111.728,4932.064,2539.036,795.328,5956.653,659.505,1578.515,936.621,7407.472,1332.748,847.655,17567.734,10788.330,3096.164,2667.982,11858.567,953.013,3179.255,689.584,4627.658,14746.318,1515.471,5444.097,515.594,4235.731,4726.343,1954.124,491.712
1982-01-01,449.606,3925.266,2294.257,2889.861,24820.009,3061.564,3139.013,634.174,599.148,10471.407,5649.792,993.780,2888.189,973.721,11423.412,5467.922,2401.202,3683.445,4352.608,5771.222,4282.923,1136.684,9115.198,4131.450,4929.451,2556.777,803.986,6019.101,668.972,1581.780,947.719,7430.968,1363.823,881.537,17589.738,10757.087,3206.123,2664.922,11845.146,954.170,3207.614,690.597,4646.041,15331.415,1558.314,5492.783,519.109,4276.552,4728.87,1949.604,506.4
1983-01-01,488.417,3934.102,2305.761,2968.925,25360.026,3133.630,3162.354,632.433,605.458,10749.851,5728.250,1012.717,2870.543,981.869,11408.818,5450.395,2415.531,3694.484,4395.316,5799.407,4313.327,1144.772,9047.754,4141.456,4943.733,2567.717,814.031,6077.056,676.688,1584.293,958.134,7467.785,1394.361,901.977,17686.905,10737.632,3290.402,2653.066,11837.723,956.382,3234.066,693.008,4659.749,15751.676,1594.943,5564.657,523.302,4300.266,4721.438,1945.061,510.345
1984-01-01,513.702,3951.820,2319.768,3067.135,25844.393,3169.992,3180.014,633.382,611.565,11039.925,5834.954,1027.922,2858.618,990.839,11412.132,5458.322,2424.086,3695.453,4400.477,5840.773,4365.243,1155.635,9049.452,4157.706,4975.278,2578.051,820.905,6164.006,680.497,1588.639,976.864,7515.473,1416.717,924.922,17745.684,10737.746,3285.533,2666.588,11815.172,961.894,3271.868,697.249,4686.737,16007.086,1622.342,5643.87,526.66,4343.656,4735.563,1927.697,504.896
1985-01-01,532.495,3972.523,2327.046,3183.538,26441.109,3208.723,3201.131,634.549,618.280,11351.118,5962.661,1039.698,2829.684,994.051,11399.806,5459.211,2427.405,3694.826,4408.118,5880.733,4413.071,1162.936,9076.293,4184.302,5000.268,2588.102,822.320,6253.954,676.980,1584.664,996.753,7565.528,1438.361,951.030,17791.672,10734.926,3271.332,2672.652,11770.862,968.955,3303.209,698.402,4715.296,16272.734,1642.91,5715.153,530.035,4400.098,4747.767,1906.831,499.695
